customer_name,House_no_Name,Street,City,State,country,pin,month,Total Transaction Amount
Tammy Mccullough,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,12,374162.0
Michael Coleman,Hough Cottage, Chandini Road, Chennai,Tamil Nadu,India,100175.0,12,257764.0
Dawn Petty,72F,Private Road,Southwell,New York,USA,248452.0,12,295393.0
Logan Jones,25HT,Millington Road,new Island,New York,USA,611348.0,12,715344.0
Travis Collins,21D, Washford Close, Bordon,texas,USA,477270.0,12,601690.0
Paul Hopkins,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,12,245211.0
Phillip Harvey,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,11,253633.0
Laura Hughes,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,11,341041.0
Jeffery Robinson,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,11,788775.0
Jessica Jensen,125j,Hospital Lane, chennai,tamil nadu,India,123722.0,11,370024.0
John Vega,72F,Private Road,Southwell,New York,USA,248452.0,10,29000.0
Jeremy Smith,256C,Regent Park,Booth Drive,Jalisco,Mexico,531720.0,10,471314.0
Julia Taylor,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443874.0,10,441380.0
Leon Brown,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,10,475071.0
Antonio Greer,Buzza Rock, Hospital Lane, mumbai,maharashtra,India,213722.0,10,484622.0
Amanda Rush,Hough Cottage, Chandini Road, Chennai,Tamil Nadu,India,100175.0,10,593086.0
Jean Brown,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,10,243749.0
Andrew Shaffer,25HT,Millington Road,new Island,New York,USA,611348.0,9,779747.0
Cheryl Jackson,125j,Hospital Lane, chennai,tamil nadu,India,123722.0,9,156000.0
Dr. Joyce Hayes,21D, Washford Close, Bordon,texas,USA,477270.0,9,710587.0
Thomas Williams,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,9,283258.0
Christopher Velazquez,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,9,151015.0
John Vega,72F,Private Road,Southwell,New York,USA,248452.0,9,352322.0
Michaela,21D, Washford Close, Bordon,texas,USA,477270.0,8,30000.0
Robert Velasquez,2 Quayle Avenue, Blackpool,tower city,chicago,USA,204166.0,8,503580.0
Christopher Velazquez,79 Clarendon Court, 43 Golden Lane,old delhi,new delhi,India,573336.0,8,119000.0
Thomas Duran,Flat 2 72 Shaftesbury,country Road, Brighton,bahia,Brazil,443874.0,8,473234.0
Brian Pratt,59A South Street,Hinton St George,Southwell,New York,USA,711517.0,8,480022.0
Lidiya Martin,21D, Washford Close, Bordon,texas,USA,477270.0,8,30000.0
